1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,unassigned,00:00:00
2,Jumanji (1995),Adventure|Children|Fantasy,unassigned,00:00:00
3,Grumpier Old Men (1995),Comedy|Romance,unassigned,00:00:00
4,Waiting to Exhale (1995),Comedy|Drama|Romance,unassigned,00:00:00
5,Father of the Bride Part II (1995),Comedy,unassigned,00:00:00
6,Heat (1995),Action|Crime|Thriller,unassigned,00:00:00
7,Sabrina (1995),Comedy|Romance,unassigned,00:00:00
8,Tom and Huck (1995),Adventure|Children,unassigned,00:00:00
9,Sudden Death (1995),Action,unassigned,00:00:00
10,GoldenEye (1995),Action|Adventure|Thriller,unassigned,00:00:00
11,"American President, The (1995)",Comedy|Drama|Romance,unassigned,00:00:00
12,Dracula: Dead and Loving It (1995),Comedy|Horror,unassigned,00:00:00
13,Balto (1995),Adventure|Animation|Children,unassigned,00:00:00
14,Nixon (1995),Drama,unassigned,00:00:00
15,Cutthroat Island (1995),Action|Adventure|Romance,unassigned,00:00:00
16,Casino (1995),Crime|Drama,unassigned,00:00:00
17,Sense and Sensibility (1995),Drama|Romance,unassigned,00:00:00
18,Four Rooms (1995),Comedy,unassigned,00:00:00
19,Ace Ventura: When Nature Calls (1995),Comedy,unassigned,00:00:00
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,unassigned,00:00:00
21,Get Shorty (1995),Comedy|Crime|Thriller,unassigned,00:00:00
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,unassigned,00:00:00
23,Assassins (1995),Action|Crime|Thriller,unassigned,00:00:00
24,Powder (1995),Drama|Sci-Fi,unassigned,00:00:00
25,Leaving Las Vegas (1995),Drama|Romance,unassigned,00:00:00
26,Othello (1995),Drama,unassigned,00:00:00
27,Now and Then (1995),Children|Drama,unassigned,00:00:00
28,Persuasion (1995),Drama|Romance,unassigned,00:00:00
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,unassigned,00:00:00
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,unassigned,00:00:00
31,Dangerous Minds (1995),Drama,unassigned,00:00:00
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,unassigned,00:00:00
34,Babe (1995),Children|Drama,unassigned,00:00:00
35,Carrington (1995),Drama|Romance,unassigned,00:00:00
36,Dead Man Walking (1995),Crime|Drama,unassigned,00:00:00
37,Across the Sea of Time (1995),Documentary|IMAX,unassigned,00:00:00
38,It Takes Two (1995),Children|Comedy,unassigned,00:00:00
39,Clueless (1995),Comedy|Romance,unassigned,00:00:00
40,"Cry, the Beloved Country (1995)",Drama,unassigned,00:00:00
41,Richard III (1995),Drama|War,unassigned,00:00:00
42,Dead Presidents (1995),Action|Crime|Drama,unassigned,00:00:00
43,Restoration (1995),Drama,unassigned,00:00:00
44,Mortal Kombat (1995),Action|Adventure|Fantasy,unassigned,00:00:00
45,To Die For (1995),Comedy|Drama|Thriller,unassigned,00:00:00
46,How to Make an American Quilt (1995),Drama|Romance,unassigned,00:00:00
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,unassigned,00:00:00
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,unassigned,00:00:00
49,When Night Is Falling (1995),Drama|Romance,unassigned,00:00:00
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,unassigned,00:00:00
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,unassigned,00:00:00
53,Lamerica (1994),Adventure|Drama,unassigned,00:00:00
54,"Big Green, The (1995)",Children|Comedy,unassigned,00:00:00
55,Georgia (1995),Drama,unassigned,00:00:00
57,Home for the Holidays (1995),Drama,unassigned,00:00:00
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,unassigned,00:00:00
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,unassigned,00:00:00
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,unassigned,00:00:00
61,Eye for an Eye (1996),Drama|Thriller,unassigned,00:00:00
62,Mr. Holland's Opus (1995),Drama,unassigned,00:00:00
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,unassigned,00:00:00
64,Two if by Sea (1996),Comedy|Romance,unassigned,00:00:00
65,Bio-Dome (1996),Comedy,unassigned,00:00:00
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,unassigned,00:00:00
68,French Twist (Gazon maudit) (1995),Comedy|Romance,unassigned,00:00:00
69,Friday (1995),Comedy,unassigned,00:00:00
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,unassigned,00:00:00
71,Fair Game (1995),Action,unassigned,00:00:00
72,Kicking and Screaming (1995),Comedy|Drama,unassigned,00:00:00
73,"Misérables, Les (1995)",Drama|War,unassigned,00:00:00
74,Bed of Roses (1996),Drama|Romance,unassigned,00:00:00
76,Screamers (1995),Action|Sci-Fi|Thriller,unassigned,00:00:00
77,Nico Icon (1995),Documentary,unassigned,00:00:00
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,unassigned,00:00:00
79,"Juror, The (1996)",Drama|Thriller,unassigned,00:00:00
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,unassigned,00:00:00
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,unassigned,00:00:00
82,Antonia's Line (Antonia) (1995),Comedy|Drama,unassigned,00:00:00
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,unassigned,00:00:00
84,Last Summer in the Hamptons (1995),Comedy|Drama,unassigned,00:00:00
85,Angels and Insects (1995),Drama|Romance,unassigned,00:00:00
86,White Squall (1996),Action|Adventure|Drama,unassigned,00:00:00
87,Dunston Checks In (1996),Children|Comedy,unassigned,00:00:00
88,Black Sheep (1996),Comedy,unassigned,00:00:00
89,Nick of Time (1995),Action|Thriller,unassigned,00:00:00
92,Mary Reilly (1996),Drama|Horror|Thriller,unassigned,00:00:00
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,unassigned,00:00:00
